offensive_coach,actual_shotgun,predicted_shotgun_rate,total_plays,shotgun_gene,first_year,last_year,teams,shotgun_gene_zscore
Shane Steichen,0.8967314069161535,0.66875625,2111,0.22797516034938103,2023,2024,IND,2.378351588865741
Mike Macdonald,0.7783251231527094,0.5933995,1015,0.1849255984639887,2024,2024,SEA,2.0039740099266052
Nick Sirianni,0.8853891485470433,0.7201553,4921,0.16523384983717393,2021,2024,PHI,1.8327260609785698
Matt Nagy,0.7228686772738067,0.5688844,4211,0.15398430456262502,2018,2021,CHI,1.7348951577219007
Matt Eberflus,0.7215799614643545,0.57031614,3114,0.15126382558102325,2022,2024,CHI,1.7112366977961455
Brian Callahan,0.7368421052631579,0.5862945,1026,0.15054763304559804,2024,2024,TEN,1.705008378256435
Kliff Kingsbury,0.9093419236079153,0.7588531,4346,0.15048884571942656,2019,2022,ARI,1.7044971382837035
Chip Kelly,0.9062203228869895,0.7608377,4212,0.14538264874605933,2013,2016,"PHI, SF",1.6600914445494723
Antonio Pierce,0.6782115869017632,0.55329335,1588,0.12491823954305958,2023,2024,LV,1.4821241055964016
Ron Rivera,0.7235475320581704,0.60173404,13959,0.12181348989050678,2011,2023,"CAR, WAS",1.4551238619881328
Jeff Saturday,0.7256461232604374,0.61319906,503,0.11244706806558269,2022,2022,IND,1.3736694133813603
Arthur Smith,0.6890263757733637,0.58130044,3071,0.10772593832295474,2021,2023,ATL,1.3326124305575155
Robert Saleh,0.6881642512077295,0.58118135,4140,0.1069829038375818,2021,2024,NYJ,1.3261506818307163
Brian Daboll,0.7011599511599511,0.59648025,3276,0.10467970080136957,2022,2024,NYG,1.3061210337056561
Zac Taylor,0.7638659251465504,0.66070986,6653,0.10315606720587656,2019,2024,CIN,1.2928708580548662
Brian Flores,0.7873990306946688,0.6859893,3095,0.10140971041650104,2019,2021,MIA,1.2776837853382872
Doug Pederson,0.7505882352941177,0.656252,8925,0.0943362087361953,2016,2024,"JAX, PHI",1.2161695603911258
David Culley,0.7051792828685259,0.6119255,1004,0.09325380011858697,2021,2021,HOU,1.2067564676687914
Jerod Mayo,0.7059980334316618,0.61284983,1017,0.09314820185054606,2024,2024,NE,1.2058381395326174
Bill O'Brien,0.6661818181818182,0.58100766,6875,0.08517415874654599,2014,2020,HOU,1.1364924175115803
Joe Philbin,0.7024064808196331,0.61970186,4197,0.082704618484428,2012,2018,"GB, MIA",1.1150162290456955
Frank Reich,0.7409660107334526,0.6590526,5590,0.08191340033611372,2018,2023,"CAR, IND",1.1081354543802717
Mike McCoy,0.7460131332082551,0.6651284,4264,0.08088472334573682,2013,2016,LAC,1.0991896350896373
Mike McDaniel,0.7554246745195289,0.6770496,3226,0.07837509728335335,2022,2024,MIA,1.0773648431956115
Jim Tomsula,0.6090819348469891,0.535653,1013,0.07342893973743103,2010,2015,SF,1.0343509214274027
Matt LaFleur,0.668948729651605,0.5958549,6573,0.07309385122600687,2019,2024,GB,1.0314368470409716
Todd Bowles,0.6449464612170279,0.5786473,7658,0.06629914571486117,2011,2024,"MIA, NYJ, TB",0.9723471539649013
Ben McAdoo,0.6848249027237354,0.62237906,1799,0.062445838163798895,2016,2017,NYG,0.9388371276441901
Jonathan Gannon,0.7179856115107913,0.66179484,2085,0.05619077022127106,2023,2024,ARI,0.884440355880109
Pete Carroll,0.5809428158935409,0.5266783,15931,0.05426449214781337,1999,2023,"NE, SEA",0.8676886099872122
Freddie Kitchens,0.6694300518134715,0.61580044,965,0.0536296115020396,2019,2019,CLE,0.8621674137503522
Jim Schwartz,0.6366979224122081,0.585292,5439,0.05140594071512561,2009,2013,DET,0.8428294124071835
Dave Canales,0.6829268292682927,0.6352463,984,0.047680552412823984,2024,2024,CAR,0.8104318271091758
Doug Marrone,0.6565438569446586,0.61076456,6487,0.04577929386100987,2013,2020,"BUF, JAX",0.793897661779911
Matt Rhule,0.6403061224489796,0.5993513,2352,0.040954835560856995,2020,2022,CAR,0.7519420892025993
Sean McDermott,0.6683439072413039,0.6278464,9142,0.0404974874300551,2017,2024,BUF,0.7479647923744044
Marc Trestman,0.6653266331658292,0.62709236,1990,0.03823427171563387,2013,2014,CHI,0.7282828912661486
Jim Caldwell,0.6266375545851528,0.5891317,7328,0.03750584167163962,2009,2017,"DET, IND",0.7219481490677703
Anthony Lynn,0.654347311063729,0.6171851,4221,0.037162195249520025,2016,2020,"BUF, LAC",0.7189596513946294
Nathaniel Hackett,0.6468085106382979,0.61147696,940,0.03533155284029377,2022,2022,DEN,0.703039594533331
Adam Gase,0.6554514480408858,0.6202572,4696,0.03519424923030845,2016,2020,"MIA, NYJ",0.7018455430532542
Bobby Petrino,0.38976377952755903,0.35514438,762,0.034619398004426705,2007,2007,ATL,0.6968463885724551
Vic Fangio,0.6076330766655507,0.5743339,2987,0.03329917049184461,2019,2021,DEN,0.6853651200493244
Urban Meyer,0.7438867438867439,0.7118979,777,0.03198883424547805,2021,2021,JAX,0.6739698702482487
Joe Judge,0.6873424104891579,0.65733075,1983,0.030011659070090513,2020,2021,NYG,0.6567755011796215
Rich Bisaccia,0.6321695760598504,0.6036188,802,0.028550775419744157,2021,2021,LV,0.6440710261472282
Gus Bradley,0.663513167987727,0.63721883,3911,0.026294335018061443,2013,2016,JAX,0.624448046084124
Vance Joseph,0.6042573778422835,0.578112,2067,0.02614537165484454,2017,2018,DEN,0.6231525963552687
Dennis Allen,0.5900447427293065,0.5655293,5364,0.024515455867886837,2012,2024,"LV, NO",0.6089781448748934
DeMeco Ryans,0.603595890410959,0.5796742,2336,0.02392170608860178,2023,2024,HOU,0.6038146404133112
Brandon Staley,0.6840462066812364,0.6629467,3203,0.021099505631431703,2021,2023,LAC,0.5792715666127211
Rex Ryan,0.5086684750560208,0.490114,8479,0.018554471636144654,2009,2016,"BUF, NYJ",0.5571388520450342
Mike McCarthy,0.5844739633314814,0.5663262,19799,0.018147762369414733,2006,2024,"DAL, GB",0.5536019326446506
Mike Tomlin,0.5845167905665214,0.56678873,19505,0.017728057560997712,2007,2024,PIT,0.5499519984022863
Rob Chudzinski,0.5953271028037384,0.5807976,1070,0.01452949013665461,2013,2013,CLE,0.5221358749400522
Kevin Stefanski,0.6016737891737892,0.58916825,5616,0.012505538613028722,2020,2024,CLE,0.5045347185491356
John Harbaugh,0.6054460580912863,0.59358424,19280,0.011861818608406627,2008,2024,BAL,0.49893665143089894
Raheem Morris,0.5449256625727213,0.5360507,4641,0.008874985273221836,2009,2024,"ATL, TB",0.4729618590346814
Steve Wilks,0.5546430827542641,0.5473822,1583,0.007260906831870306,2018,2022,"ARI, CAR",0.45892513595025713
Jim Harbaugh,0.47278785634950016,0.46677753,5402,0.006010323056729772,2011,2024,"LAC, SF",0.44804951944005644
Matt Patricia,0.6257396449704142,0.6252186,2704,0.0005210747380228753,2018,2020,DET,0.4003126458053324
Kyle Shanahan,0.5495240253853128,0.54964143,8824,-0.00011740499264745186,2017,2024,SF,0.3947601503721285
Hue Jackson,0.5781161872532431,0.5809792,3546,-0.0028630407664712587,2011,2018,"CLE, LV",0.37088291611851754
Josh McDaniels,0.5089966453186947,0.51222575,3279,-0.0032291017897647656,2009,2023,"DEN, LV",0.3676994913949524
Mike Munchak,0.49863852961198096,0.50539464,2938,-0.006756107972705316,2011,2013,TEN,0.33702712266822915
Darrell Bevell,0.651031894934334,0.6578584,533,-0.006826476800285142,2020,2021,"DET, JAX",0.3364151649583631
Mike Pettine,0.542198233562316,0.55585855,2038,-0.013660318893586099,2014,2015,CLE,0.27698512326471003
Andy Reid,0.473908081751219,0.48805857,28917,-0.014150485295900128,1999,2024,"KC, PHI",0.27272242457652895
Nick Saban,0.3676688023656974,0.38605902,2029,-0.01839021362360621,2005,2006,MIA,0.23585191632578495
Ken Whisenhunt,0.48331685615422637,0.50436497,8092,-0.021048111191965035,2007,2015,"ARI, TEN",0.2127376913922198
Kevin O'Connell,0.536680697534576,0.56198245,3326,-0.02530175533483925,2022,2024,MIN,0.17574616520393024
Mike Zimmer,0.504283818028237,0.53130955,8287,-0.027025727011893652,2014,2021,MIN,0.16075376308997813
Mike Vrabel,0.5111003861003861,0.5403232,6216,-0.02922281174125818,2018,2023,TEN,0.14164696558310866
Jay Gruden,0.592367571672679,0.62205136,5267,-0.029683786550282476,2014,2019,WAS,0.1376381295950935
Steve Spagnuolo,0.4280143971205759,0.4630765,3334,-0.03506210496415618,2009,2017,"LA, NYG",0.09086595031228782
Chan Gailey,0.47103465722236276,0.50737834,3953,-0.03634368254509329,1999,2012,"BUF, DAL",0.07972079828376709
Sean McVay,0.49845882870981945,0.53483033,9084,-0.03637150309254872,2017,2024,LA,0.07947885879019334
Mike Mularkey,0.4129906920275192,0.45030978,4942,-0.037319091192771936,2004,2017,"BUF, JAX, TEN",0.07123822350248604
Pat Shurmur,0.49580246913580245,0.53398514,4050,-0.03818266880365068,2011,2019,"CLE, NYG, PHI",0.06372817970581433
Chuck Pagano,0.5590551181102362,0.60012376,6604,-0.041068644974175395,2012,2017,IND,0.038630484763564524
Dan Quinn,0.5704145371947758,0.61720115,7044,-0.046786612268877814,2015,2024,"ATL, WAS",-0.011095427847179817
Jack Del Rio,0.41483354403708383,0.46266598,11865,-0.04783243105675772,2003,2017,"JAX, LV",-0.020190319610721662
Dan Campbell,0.5329993465475931,0.5808625,4591,-0.047863175577651074,2021,2024,DET,-0.02045768723988222
Mike Singletary,0.3576858108108108,0.40580493,2368,-0.04811912130665136,2008,2010,SF,-0.022683501816533055
Eric Mangini,0.3605386655784534,0.41384235,4901,-0.05330368466606872,2006,2010,"CLE, NYJ",-0.06777070348243062
Jason Garrett,0.5326597264747908,0.5876712,9798,-0.055011493827791025,2010,2019,DAL,-0.08262254938408711
Tom Cable,0.30129179331306993,0.35648546,2632,-0.05519366291518629,2008,2010,LV,-0.08420677042861612
Todd Haley,0.37559972583961615,0.43389967,2918,-0.05829994499969354,2009,2011,KC,-0.11122034072686438
John Fox,0.36563169164882225,0.42846882,16812,-0.06283713178410011,2002,2017,"CAR, CHI, DEN",-0.15067767615951952
Sean Payton,0.45281514168749004,0.5171237,18809,-0.06430855750074238,2006,2024,"DEN, NO",-0.1634738295524821
Bruce Arians,0.5001693193362682,0.56464124,8859,-0.06447191792264295,2013,2021,"ARI, TB",-0.1648944823202949
Bill Belichick,0.43045546266935714,0.5030214,27752,-0.07256595637895219,2000,2023,NE,-0.23528373573895822
Chris Palmer,0.1891891891891892,0.27049953,1702,-0.08131033826518702,1999,2000,CLE,-0.3113286564422898
Wade Phillips,0.3600197271083347,0.44315255,6083,-0.08313281977429471,1999,2013,"ATL, BUF, DAL, HOU",-0.3271777425922837
Tony Dungy,0.30984758601807066,0.3936192,10957,-0.0837716235098987,1999,2008,"IND, TB",-0.3327330557122959
Bill Cowher,0.24786422143752135,0.33584052,8779,-0.08797630180542909,1999,2006,PIT,-0.3692987537486501
Greg Schiano,0.4423565261554088,0.531759,1969,-0.08940249751097301,2012,2013,TB,-0.38170156743480055
Jeff Fisher,0.28911839372259407,0.38153896,17332,-0.09242056363481255,1999,2016,"LA, TEN",-0.40794797364746554
Marvin Lewis,0.38441320293398534,0.4772779,16360,-0.09286470181493128,2003,2018,CIN,-0.41181039104046824
Dirk Koetter,0.534786790638025,0.6290064,3119,-0.09421959516519762,2016,2018,TB,-0.4235931286567961
Tom Coughlin,0.3864871249704701,0.48074523,16932,-0.09425810117432054,1999,2015,"JAX, NYG",-0.42392799353900845
Jim Zorn,0.2521606507371632,0.35807618,1967,-0.10591553425085865,2008,2009,WAS,-0.525306065247567
Lane Kiffin,0.21018593371059013,0.31677496,1237,-0.10658903062199043,2007,2008,LV,-0.5311630805063952
Mike Smith,0.3923425827107791,0.50005144,7496,-0.10770885609766206,2008,2014,ATL,-0.5409015663830323
Butch Davis,0.23883928571428573,0.3494311,3584,-0.11059181179319108,2001,2004,CLE,-0.5659729939704796
Dick Jauron,0.21238117319731045,0.32494894,8626,-0.11256776350351047,1999,2009,"BUF, CHI, DET",-0.5831567232585826
Dave McGinnis,0.23931366646598434,0.35272214,3322,-0.11340847170044327,2000,2003,ARI,-0.5904678847565765
Dave Wannstedt,0.1693227091633466,0.28503716,4518,-0.11571445075639217,2000,2004,MIA,-0.6105216743479508
Lovie Smith,0.25723046324687165,0.37360173,12067,-0.11637127139134246,2004,2022,"CHI, HOU, TB",-0.6162336702043684
Romeo Crennel,0.31952557974862805,0.4360119,5649,-0.11648633068990955,2005,2020,"CLE, HOU, KC",-0.6172342755472673
Terry Robiskie,0.15335169880624427,0.2730253,1089,-0.11967360527281151,2000,2004,"CLE, WAS",-0.6449521915840848
Jim Haslett,0.30107060185185186,0.4217246,6912,-0.12065398582705744,2000,2008,"LA, NO",-0.6534780042117422
Joe Gibbs,0.16096294548029266,0.2823049,4237,-0.12134196732526459,2004,2007,WAS,-0.6594609883902899
Mike Riley,0.15188583078491336,0.27334493,2943,-0.12145910320175046,1999,2001,LAC,-0.660479652551436
Leslie Frazier,0.3582089552238806,0.4820026,3417,-0.12379363090244694,2010,2013,MIN,-0.6807817134848287
Scott Linehan,0.29035087719298247,0.41690496,2280,-0.12655407890938875,2006,2008,LA,-0.7047877613135503
Brian Billick,0.12438020888279354,0.25166628,9479,-0.12728606876422488,1999,2007,BAL,-0.7111534611641346
Dick LeBeau,0.1414349467902506,0.2691195,2913,-0.127684554323641,2000,2002,CIN,-0.7146188636547238
Tony Sparano,0.3324764353041988,0.46609828,4668,-0.13362184345671124,2008,2014,"LV, MIA",-0.7662520936749976
Jon Gruden,0.1847441726203363,0.31879222,13857,-0.1340480513100226,1999,2021,"LV, TB",-0.7699585812037752
Jim Fassel,0.16809013265491551,0.30365625,5503,-0.13556611758350307,1999,2003,NYG,-0.7831603410183768
Mike Tice,0.29707907860365707,0.4366277,4211,-0.1395486074200551,2001,2005,MIN,-0.8177937922745666
Brad Childress,0.24116424116424118,0.38373002,4810,-0.1425657829351088,2006,2010,MIN,-0.8440324533686655
Mike Nolan,0.20669291338582677,0.35171112,3048,-0.14501821079592067,2005,2008,SF,-0.865359825003664
Dave Campo,0.05374823196605375,0.20510238,2828,-0.15135415212436984,2000,2002,DAL,-0.920459906652813
Jimmy Johnson,0.20949957591178966,0.36213732,1179,-0.15263774174568104,1999,1999,MIA,-0.931622556253225
Mike Ditka,0.14451988360814744,0.29738438,1031,-0.15286449768610305,1999,1999,NO,-0.9335945238242601
Art Shell,0.05508474576271186,0.20955752,944,-0.1544727726002871,2006,2006,LV,-0.9475807769304753
Cam Cameron,0.28877551020408165,0.44414687,980,-0.1553713613626908,2007,2007,MIA,-0.9553952928186095
Steve Spurrier,0.19045251118846346,0.3472421,2011,-0.15678957593731474,2002,2003,WAS,-0.9677286991440305
Gary Kubiak,0.27371143897298333,0.4330774,10438,-0.15936595598932746,2006,2016,"DEN, HOU",-0.9901340125562187
Gregg Williams,0.2522289329882082,0.41329414,3477,-0.16106520353599224,2001,2018,"BUF, CLE",-1.004911402956433
Gary Moeller,0.1140819964349376,0.27659792,561,-0.16251592064498793,2000,2000,DET,-1.0175274653553323
Mike Shanahan,0.24314554631018961,0.40836903,14662,-0.16522348821854269,1999,2013,"DEN, WAS",-1.0410736421015698
Bruce Coslet,0.10252100840336134,0.26869857,1190,-0.16617756470912645,1999,2000,CIN,-1.0493707032335369
Dom Capers,0.15407053831874834,0.32634944,3771,-0.17227889891803755,2002,2005,HOU,-1.1024305400679215
Ray Rhodes,0.12797619047619047,0.3034384,1008,-0.17546220478557406,1999,1999,GB,-1.1301139424422313
Norv Turner,0.25281312440845516,0.42991617,9509,-0.17710304881122563,1999,2012,"LAC, LV, WAS",-1.1443834306050973
Dennis Green,0.20567721005677211,0.38899624,6165,-0.18331903342009556,1999,2006,"ARI, MIN",-1.1984403168235211
Mike Sherman,0.18221057499614615,0.36742246,6487,-0.18521188651355844,2000,2005,GB,-1.21490138465749
Herm Edwards,0.12859836580766815,0.31447974,7955,-0.18588137266622407,2001,2008,"KC, NYJ",-1.220723525324926
Jim Mora,0.23308792887901097,0.42421553,7199,-0.19112759650970668,1999,2009,"ATL, IND, SEA",-1.2663469531852276
Bill Parcells,0.0886368006152663,0.28373376,5201,-0.19509695473484662,1999,2006,"DAL, NYJ",-1.3008662062783531
Joe Vitt,0.32033008252063017,0.51561326,1333,-0.19528317536434908,2005,2012,"LA, NO",-1.3024856612825007
Marty Schottenheimer,0.1699228369725825,0.37134227,6091,-0.20141943459380848,2001,2006,"LAC, WAS",-1.3558492211761832
Rod Marinelli,0.2380276693863072,0.44602704,2819,-0.20799937109526018,2006,2008,DET,-1.4130711902067814
Vince Tobin,0.11994698475811796,0.33770418,1509,-0.21775719691302461,1999,2000,ARI,-1.4979294569433823
Bill Callahan,0.12308786908573462,0.3481089,2811,-0.22502101858668971,2002,2019,"LV, WAS",-1.5610987867328945
Dan Reeves,0.075,0.30186775,4720,-0.2268677532672882,1999,2003,ATL,-1.5771587889346823
Dennis Erickson,0.0898876404494382,0.31756058,2047,-0.2276729429036044,2003,2004,SF,-1.584161065692654
Marty Mornhinweg,0.04957005563985837,0.28183892,1977,-0.23226886805284488,2001,2002,DET,-1.6241292153091071
Mike Martz,0.06374978636130577,0.3052195,5851,-0.24146971489563698,2000,2005,LA,-1.704143752376048
Steve Mariucci,0.06340394448502557,0.31187767,6845,-0.24847372341887458,1999,2005,"DET, SF",-1.7650536348222274
Mike Holmgren,0.021463691376701968,0.28818876,10576,-0.2667250641355356,1999,2008,SEA,-1.923775174616001
Bobby Ross,0.01602787456445993,0.28958848,1435,-0.2735606066233605,1999,2000,DET,-1.9832200036746641
Al Groh,0.04666666666666667,0.3212682,1050,-0.2746015342076619,2000,2000,NYJ,-1.9922723594198677
George Seifert,0.0,0.27550766,2896,-0.2755076587200165,1999,2001,CAR,-2.0001524094435084
Dick Vermeil,0.08244766505636071,0.36271557,6210,-0.28026790706239846,1999,2005,"KC, LA",-2.04154958450221
Gunther Cunningham,0.0,0.29509827,1952,-0.29509827494621277,1999,2000,KC,-2.170520867366835
